,X,Y,Colors
0,0.0,0.99,lime
1,0.8,0.97,lime
2,0.8,0.96,lime
3,0.8,0.96,lime
4,0.8,0.95,lime
5,0.8,0.94,lime
6,0.8,0.93,lime
7,0.8,0.93,lime
8,1.6,0.84,lime
9,2.41,0.75,lime
10,3.21,0.56,lime
11,3.21,0.56,lime
12,3.21,0.55,lime
13,3.21,0.54,lime
14,3.21,0.53,lime
15,3.21,0.53,lime
16,3.21,0.52,lime
17,4.01,0.48,lime
18,4.81,0.43,lime
19,4.81,0.42,lime
20,4.81,0.42,lime
21,4.81,0.41,lime
22,4.81,0.4,lime
23,4.81,0.4,lime
24,4.81,0.39,lime
25,5.62,0.29,lime
26,6.42,0.23,lime
27,7.22,0.23,lime
28,8.02,0.23,lime
29,8.83,0.18,lime
30,9.63,0.16,lime
31,10.43,0.12,lime
32,11.23,0.09,lime
33,12.04,0.09,lime
34,12.84,0.09,lime
35,13.64,0.09,lime
36,14.44,0.09,lime
37,15.25,0.09,lime
38,16.05,0.09,lime
39,16.85,0.09,lime
40,17.65,0.07,lime
41,18.46,0.07,lime
42,19.26,0.05,lime
43,20.06,0.05,lime
44,20.86,0.02,lime
45,21.67,0.02,lime
46,22.47,0.02,lime
47,0.8,0.99,magenta
48,1.6,0.96,magenta
49,1.6,0.95,magenta
50,1.6,0.94,magenta
51,1.6,0.93,magenta
52,2.41,0.87,magenta
53,2.41,0.86,magenta
54,2.41,0.85,magenta
55,3.21,0.77,magenta
56,3.21,0.76,magenta
57,4.01,0.69,magenta
58,4.01,0.68,magenta
59,4.01,0.67,magenta
60,4.81,0.59,magenta
61,5.62,0.53,magenta
62,5.62,0.53,magenta
63,6.42,0.45,magenta
64,6.42,0.44,magenta
65,6.42,0.43,magenta
66,7.22,0.37,magenta
67,7.22,0.37,magenta
68,8.02,0.32,magenta
69,8.83,0.3,magenta
70,9.63,0.28,magenta
71,10.43,0.26,magenta
72,10.43,0.26,magenta
73,10.43,0.25,magenta
74,11.23,0.22,magenta
75,12.04,0.21,magenta
76,12.04,0.2,magenta
77,12.84,0.18,magenta
78,13.64,0.18,magenta
79,14.44,0.16,magenta
80,15.25,0.14,magenta
81,16.05,0.13,magenta
82,16.05,0.13,magenta
83,16.85,0.13,magenta
84,17.65,0.12,magenta
85,18.46,0.12,magenta
86,19.26,0.1,magenta
87,20.06,0.1,magenta
88,20.86,0.1,magenta
89,20.86,0.1,magenta
90,21.67,0.1,magenta
91,22.47,0.09,magenta
92,0.8,0.13,blue
93,1.6,0.99,blue
94,1.6,0.13,blue
95,1.6,0.12,blue
96,2.41,0.96,blue
97,2.41,0.96,blue
98,2.41,0.95,blue
99,3.21,0.93,blue
100,4.01,0.89,blue
101,4.81,0.83,blue
102,5.62,0.77,blue
103,5.62,0.76,blue
104,5.62,0.75,blue
105,5.62,0.75,blue
106,6.42,0.71,blue
107,6.42,0.7,blue
108,7.22,0.67,blue
109,8.02,0.61,blue
110,8.83,0.56,blue
111,9.63,0.51,blue
112,9.63,0.5,blue
113,9.63,0.5,blue
114,9.63,0.49,blue
115,10.43,0.48,blue
116,11.23,0.37,blue
117,12.04,0.34,blue
118,12.84,0.31,blue
119,13.64,0.27,blue
120,14.44,0.25,blue
121,14.44,0.24,blue
122,15.25,0.24,blue
123,16.05,0.24,blue
124,16.85,0.24,blue
125,17.65,0.24,blue
126,18.46,0.23,blue
127,19.26,0.23,blue
128,20.06,0.23,blue
129,20.86,0.21,blue
130,20.86,0.21,blue
131,20.86,0.2,blue
132,21.67,0.2,blue
133,22.47,0.18,blue
